PolityKey,PolityName,Administrative levels,Military levels,Religious levels,Settlement hierarchy,start_year,end_year,duration_years,PC1_hier,PC2_hier,PC3_hier,PC1_squared,PC1_x_PC2,collapsed,era,NGA,region,predicted_duration,residual,abs_residual
39,EgNaqa3,2.0,2.0,2.0,2.0,-3300.0,-3100.0,200.0,-1.7058084780399363,0.394187080018746,-0.0838640450751241,2.9097825637529247,-0.6724076630297838,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,369.80415176552486,-169.80415176552486,169.80415176552486
40,EgOldK1,7.0,3.0,6.0,4.0,-2650.0,-2350.0,300.0,1.4336676117254916,1.3283548757723016,-1.2228350804642103,2.055402820910675,1.9044193622723875,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,160.4525581472397,139.5474418527603,139.5474418527603
41,EgOldK2,7.0,3.0,6.0,4.0,-2350.0,-2150.0,200.0,1.4336676117254916,1.3283548757723016,-1.2228350804642103,2.055402820910675,1.9044193622723875,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,160.4525581472397,39.5474418527603,39.5474418527603
42,EgPtol1,6.0,9.0,1.0,6.0,-305.0,-217.0,88.0,1.801232726765644,-1.9450247165635812,0.679262769194767,3.2444393359715975,-3.5034421738423935,1,Classical (500 BCE-500 CE),Upper Egypt,Middle East,135.94199001678015,-47.94199001678015,47.94199001678015
43,EgPtol2,6.0,7.0,1.0,6.0,-217.0,-30.0,187.0,1.3743087512427987,-1.785179571873014,-0.0097940727993742,1.8887245437425408,-2.453387908164956,0,Classical (500 BCE-500 CE),Upper Egypt,Middle East,164.4108211446641,22.589178855335888,22.589178855335888
44,EgRegns,4.0,3.0,2.0,4.0,-2150.0,-2016.0,134.0,-0.3608982731394176,-0.3273920201667266,-0.5856981996215923,0.1302475635550136,0.118155214717797,1,Ancient (pre-500 BCE),Upper Egypt,Middle East,280.1206865570176,-146.12068655701762,146.12068655701762
45,EgSaite,5.0,6.0,3.0,4.0,-664.0,-525.0,139.0,0.7943132704989632,-0.1807243500512225,0.2502257758812383,0.630933571690759,-0.143551749547986,1,Ancient (pre-500 BCE),Upper Egypt,Middle East,203.08701255792562,-64.08701255792562,64.08701255792562
46,EgThebH,5.0,6.0,3.0,4.0,-1720.0,-1567.0,153.0,0.7943132704989632,-0.1807243500512225,0.2502257758812383,0.630933571690759,-0.143551749547986,1,Ancient (pre-500 BCE),Upper Egypt,Middle East,203.08701255792562,-50.08701255792562,50.08701255792562
47,EgThebL,5.0,4.0,3.0,3.0,-1069.0,-747.0,322.0,0.0664016229581115,0.1899437112258293,-0.1691580474520407,0.0044091755314712,0.0126125706960819,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,251.62678768880576,70.37321231119424,70.37321231119424
48,EgTulIk,5.0,6.0,2.0,6.0,868.0,969.0,101.0,1.146199470732405,-1.0988109177091565,-0.2449672430630119,1.3137732267072455,-1.2594564923132234,1,Medieval (500-1500 CE),Upper Egypt,Middle East,179.62197103991286,-78.62197103991286,78.62197103991286
